"i0","simulated_y","y","actual_response","cutoff","beta0","beta1","beta2","delta","modified_covariate","x2","eta","probability","residual","score_intercept","score_x1","score_x2","design_norm","score_norm","tukey_argument","robust_weight"
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.27,-39.3889925918435,0.042010562831985,-39.9099978732595,4.64844986024566e-18,-4.64844986024566e-18,-4.64844986024566e-18,1.83097757108772e-16,-1.95283994925182e-19,39.4017068448525,1.83156858676395e-16,1.83156858676395e-16,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.26,-39.3789925918435,0.042010562831985,-39.8999978732595,4.69516755802353e-18,-4.69516755802353e-18,-4.69516755802353e-18,1.84890968484873e-16,-1.97246631703045e-19,39.3917100724995,1.84950679187468e-16,1.84950679187468e-16,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.25,-39.3689925918435,0.042010562831985,-39.8899978732595,4.74235477646983e-18,-4.74235477646983e-18,-4.74235477646983e-18,1.86701730062734e-16,-1.9922899330845e-19,39.3817133017854,1.86762056182287e-16,1.86762056182287e-16,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.24,-39.3589925918435,0.042010562831985,-39.8799978732595,4.79001623434574e-18,-4.79001623434574e-18,-4.79001623434574e-18,1.88530213482424e-16,-2.0123127797921e-19,39.3717165327114,1.88591161365746e-16,1.88591161365746e-16,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.23,-39.3489925918435,0.042010562831985,-39.8699978732595,4.83815669783682e-18,-4.83815669783682e-18,-4.83815669783682e-18,1.90376592061359e-16,-2.03253685945463e-19,39.3617197652789,1.9043816812076e-16,1.9043816812076e-16,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.22,-39.3389925918435,0.042010562831985,-39.8599978732595,4.88678098102945e-18,-4.88678098102945e-18,-4.88678098102945e-18,1.92241040810679e-16,-2.05296419449687e-19,39.351722999489,1.92303251524642e-16,1.92303251524642e-16,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.21,-39.3289925918435,0.042010562831985,-39.8499978732595,4.93589394639252e-18,-4.93589394639252e-18,-4.93589394639252e-18,1.94123736451797e-16,-2.07359682766938e-19,39.3417262353429,1.94186588365661e-16,1.94186588365661e-16,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.2,-39.3189925918435,0.042010562831985,-39.8399978732595,4.98550050526349e-18,-4.98550050526349e-18,-4.98550050526349e-18,1.96024857433087e-16,-2.09443682225265e-19,39.3317294728421,1.96088357159741e-16,1.96088357159741e-16,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.19,-39.3089925918435,0.042010562831985,-39.8299978732595,5.03560561833962e-18,-5.03560561833962e-18,-5.03560561833962e-18,1.97944583946758e-16,-2.11548626226353e-19,39.3217327119876,1.98008738167334e-16,1.98008738167334e-16,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.18,-39.2989925918435,0.042010562831985,-39.8199978732595,5.0862142961739e-18,-5.0862142961739e-18,-5.0862142961739e-18,1.99883097945867e-16,-2.13674725266354e-19,39.3117359527808,1.99947913410447e-16,1.99947913410447e-16,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.17,-39.2889925918435,0.042010562831985,-39.8099978732595,5.13733159967632e-18,-5.13733159967632e-18,-5.13733159967632e-18,2.01840583161527e-16,-2.15822191956944e-19,39.301739195223,2.01906066689856e-16,2.01906066689856e-16,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.16,-39.2789925918435,0.042010562831985,-39.7999978732595,5.18896264061987e-18,-5.18896264061987e-18,-5.18896264061987e-18,2.03817225120261e-16,-2.17991241046584e-19,39.2917424393153,2.03883383602465e-16,2.03883383602465e-16,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.15,-39.2689925918435,0.042010562831985,-39.7899978732595,5.2411125821516e-18,-5.2411125821516e-18,-5.2411125821516e-18,2.05813211161529e-16,-2.20182089441987e-19,39.281745685059,2.05880051558842e-16,2.05880051558842e-16,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.14,-39.2589925918435,0.042010562831985,-39.7799978732595,5.29378663930914e-18,-5.29378663930914e-18,-5.29378663930914e-18,2.07828730455438e-16,-2.2239495622982e-19,39.2717489324554,2.07896259800936e-16,2.07896259800936e-16,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.13,-39.2489925918435,0.042010562831985,-39.7699978732595,5.34699007954213e-18,-5.34699007954213e-18,-5.34699007954213e-18,2.0986397402061e-16,-2.24630062698605e-19,39.2617521815058,2.09932199419953e-16,2.09932199419953e-16,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.12,-39.2389925918435,0.042010562831985,-39.7599978732595,5.40072822323894e-18,-5.40072822323894e-18,-5.40072822323894e-18,2.11919134742233e-16,-2.26887632360854e-19,39.2517554322114,2.11988063374417e-16,2.11988063374417e-16,1
74,0,0,TRUE,4.685061,-0.5,1,-0.5,-39.11,-39.2289925918435,0.042010562831985,-39.7499978732595,5.45500644425867e-18,-5.45500644425867e-18,-5.45500644425867e-18,2.13994407390282e-16,-2.29167890975412e-19,39.2417586845735,2.14064046508392e-16,2.14064046508392e-16,1
